Knot1,Knot2,Variant
t10930,o9_16874,reverse_mirror
t10930,o9_22337,identity
t10930,o9_22337,reverse
t10930,o9_22550,identity
t10930,o9_22550,reverse
t10932,t10932,reverse
t10944,t10944,reverse
t10985,t10985,reverse
t10985,o9_18209,mirror
t10985,o9_18209,reverse_mirror
t11034,t11034,reverse
t11055,t11055,reverse
t11139,t11139,reverse
t11198,t11198,reverse
t11291,t11291,reverse
t11291,o9_37732,identity
t11291,o9_37732,reverse
t11292,t11292,reverse
t11333,t11333,reverse
t11376,t11376,reverse
t11402,t11402,reverse
t11402,t12344,mirror
t11402,t12344,reverse_mirror
t11402,t12376,identity
t11402,t12376,reverse
t11402,t12757,identity
t11402,t12757,reverse
t11402,o9_40522,mirror
t11402,o9_40522,reverse_mirror
t11402,o9_42258,mirror
t11402,o9_42258,reverse_mirror
t11402,o9_42607,mirror
t11402,o9_42607,reverse_mirror
t11402,o9_42714,identity
t11402,o9_42714,reverse
t11402,o9_43730,identity
t11402,o9_43730,reverse
t11402,o9_43874,identity
t11402,o9_43874,reverse
t11441,t11441,reverse
t11441,t11441,mirror
t11441,t11441,reverse_mirror
t11441,t12679,identity
t11441,t12679,reverse
t11441,t12679,mirror
t11441,t12679,reverse_mirror
t11441,o9_00017,identity
t11441,o9_00017,reverse
t11441,o9_00017,mirror
t11441,o9_00017,reverse_mirror
t11441,o9_24293,identity
t11441,o9_24293,reverse
t11441,o9_24293,mirror
t11441,o9_24293,reverse_mirror
t11441,o9_37768,identity
t11441,o9_37768,reverse
t11441,o9_37768,mirror
t11441,o9_37768,reverse_mirror
t11460,t11460,reverse
t11462,t11462,reverse
t11462,t11462,mirror
t11462,t11462,reverse_mirror
t11489,t11489,reverse
t11489,o9_30018,identity
t11489,o9_30018,reverse
t11497,t11497,reverse
t11548,t11548,reverse
t11556,t11556,reverse
t11558,t11558,reverse
t11618,t11618,reverse
t11675,t11675,reverse
t11748,t11748,reverse
t11748,t11748,mirror
t11748,t11748,reverse_mirror
t11751,t11751,reverse
t11752,t11752,reverse
t11795,t11795,reverse
t11798,t11798,reverse
t11799,t11799,reverse
t11814,t11814,reverse
t11852,t11852,reverse
t11887,t11887,reverse
t11888,t11888,reverse
t11898,t11898,reverse
t11898,t11898,mirror
t11898,t11898,reverse_mirror
t11900,t11900,reverse
t11900,o9_40803,mirror
t11900,o9_40803,reverse_mirror
t11909,t11909,reverse
t12120,t12120,reverse
t12120,o9_02163,identity
t12120,o9_02163,reverse
t12154,t12154,reverse
t12180,t12180,reverse
t12198,t12198,reverse
t12199,t12199,reverse
t12229,t12229,reverse
t12247,t12247,reverse
t12270,t12270,reverse
t12270,t12270,mirror
t12270,t12270,reverse_mirror
t12271,t12271,reverse
t12271,t12271,mirror
t12271,t12271,reverse_mirror
t12288,t12288,reverse
t12308,t12308,reverse
t12344,t12344,reverse
t12344,t12376,mirror
t12344,t12376,reverse_mirror
t12344,t12757,mirror
t12344,t12757,reverse_mirror
t12344,o9_40522,identity
t12344,o9_40522,reverse
t12344,o9_42258,identity
t12344,o9_42258,reverse
t12344,o9_42607,identity
t12344,o9_42607,reverse
t12344,o9_42714,mirror
t12344,o9_42714,reverse_mirror
t12344,o9_43730,mirror
t12344,o9_43730,reverse_mirror
t12344,o9_43874,mirror
t12344,o9_43874,reverse_mirror
t12350,t12350,reverse
t12376,t12376,reverse
t12376,t12757,identity
t12376,t12757,reverse
t12376,o9_40522,mirror
t12376,o9_40522,reverse_mirror
t12376,o9_42258,mirror
t12376,o9_42258,reverse_mirror
t12376,o9_42607,mirror
t12376,o9_42607,reverse_mirror
t12376,o9_42714,identity
t12376,o9_42714,reverse
t12376,o9_43730,identity
t12376,o9_43730,reverse
t12376,o9_43874,identity
t12376,o9_43874,reverse
t12388,t12388,reverse
t12388,t12388,mirror
t12388,t12388,reverse_mirror
t12395,t12395,reverse
t12456,t12456,reverse
t12533,t12533,reverse
t12656,t12656,reverse
t12656,t12656,mirror
t12656,t12656,reverse_mirror
t12656,o9_40485,identity
t12656,o9_40485,reverse
t12656,o9_40485,mirror
t12656,o9_40485,reverse_mirror
t12679,t12679,reverse
t12679,t12679,mirror
t12679,t12679,reverse_mirror
t12681,t12681,reverse
t12753,t12753,reverse
t12755,t12755,reverse
t12755,o9_21697,identity
t12755,o9_21697,reverse
t12756,t12756,reverse
t12757,t12757,reverse
t12757,o9_40522,mirror
t12757,o9_40522,reverse_mirror
t12757,o9_42258,mirror
t12757,o9_42258,reverse_mirror
t12757,o9_42607,mirror
t12757,o9_42607,reverse_mirror
t12757,o9_42714,identity
t12757,o9_42714,reverse
t12757,o9_43730,identity
t12757,o9_43730,reverse
t12757,o9_43874,identity
t12757,o9_43874,reverse
o9_00017,o9_00017,reverse
o9_00017,o9_00017,mirror
o9_00017,o9_00017,reverse_mirror
o9_00017,o9_24293,identity
o9_00017,o9_24293,reverse
o9_00017,o9_24293,mirror
o9_00017,o9_24293,reverse_mirror
o9_00022,o9_00022,reverse
o9_00022,o9_24670,identity
o9_00022,o9_24670,reverse
o9_00022,o9_40449,mirror
o9_00022,o9_40449,reverse_mirror
o9_00133,o9_00133,reverse
o9_00168,o9_00168,reverse
o9_00168,o9_12757,mirror
o9_00168,o9_12757,reverse_mirror
o9_00644,o9_00644,reverse
o9_00797,o9_00797,reverse
o9_00797,o9_13433,identity
o9_00797,o9_13433,reverse
o9_00815,o9_00815,reverse
o9_01024,o9_01024,reverse
o9_01024,o9_01024,mirror
o9_01024,o9_01024,reverse_mirror
o9_01035,o9_01035,reverse
o9_01079,o9_01079,reverse
o9_01175,o9_01175,reverse
o9_01436,o9_01436,reverse
o9_01496,o9_01496,reverse
o9_01496,o9_16748,mirror
o9_01496,o9_16748,reverse_mirror
o9_01584,o9_01584,reverse
o9_01621,o9_01621,reverse
o9_01680,o9_01680,reverse
o9_01680,o9_12144,mirror
o9_01680,o9_12144,reverse_mirror
o9_01765,o9_01765,reverse
o9_01936,o9_01936,reverse
o9_01953,o9_01953,reverse
o9_01955,o9_01955,reverse
o9_02030,o9_02030,reverse
o9_02030,o9_02030,mirror
